,sentimentValue,article
21,-1.0,advert by john eligondec arnold mo lind thorn peer out the back of her trail near her on monday night to find wat slosh up the wood step she had thought she would be saf from the ri floodw but at that point she knew she had to go by thursday most of the trail and mani of the valu she had left behind wer submerg and ms. thorn who expect to be at a hospit welcom the bir of her first great-grandchild instead found herself stuck und the pal fluoresc light of a gym at a bapt church that had becom a red cross shelter ci wa devast d she said thursday reflect on the valu and keepsak she left behind : mickey mou figurin and dol she want to giv to her grandchildr ; a $ set of cast iron pan ; two damasc blad kniv with hand-carv bon handl that wer gift from a friend som of the highest flood stag ev record hit the mississipp riv basin
22,-1.0,advert by daniel e. slotnikdec howard dav jr. a box from long island who in won an olymp gold med and also receiv the val bark troph award to the most outstand olymp fight ov hi team and fellow gold med michael and leon spink and sug ray leonard die on wednesday at hi hom in plant fla. he wa . the cau wa lung cant accord to an annount on facebook by the howard dav jr. found which rai money to fight cancer dav who wa a lightweight for most of hi car and had a blist left jab wa on and wa in mourn at the gam in mont day ear hi moth catherin had die of a heart attack at . ci rememb her point her fing in my fac and tel me youd bet win the gold med d dav told the new york post in august ci wasnt go to be deni ther wa no way i wa go to lose.d he sound
23,0.0,advert by the associ pressdec quarterback greg ward jr. and the houston coug show they could thrive in a big-gam atmosph against a big-nam oppon ward ran for two touchdown and threw for anoth lead houston past florid stat - on thursday at the peach bowl in atlanta florid stat which won the nat champ two year ago wa fav by point cit mean that well play against anybodi anywh d ward said cwe wont back down from anyone.d florid stat quarterback sean maguir wa cart off the field with a sprain left ankl lat in the first quart he return midway through the second quart with the ankl wrap and he threw four interceiv in the seminol turnover-plagu game dalvin cook wa held to yard rush with a touchdown and a lost fumbl that left the seminol with fiv turnov they commit in regular-season game advert hou
24,-1.0,advert by noam scheiberdec washington is the parti ov for america super-rich ? for year begin in the ear s the effect tax rat for tho at the veri top of the incom lad gen drop then in aft a pair of unu tax increa negoti by the obam whit hou went into effect tax went up on thi group accord to dat relea on wednesday by the intern revenu serv the av rat for fed incom tax paid by the countri top incom earn ro from . perc in to . perc in almost exact wher they stood in the ear s though wel below the level of the ear s by ani mea that a vict for the cau of tax just analyst said but the rec rat increa mani expert also not stil do littl to overcom the broad issu of a sep mor comfort tax system for the ultrawealthi cthe increa in the capit g
25,1.0,advert by stephani clifforddec mark with an off seal the fed subpoen ar at the red brick off of zuccarello zerillo & amp ; co. an account firm in whiteston queen in ear march prosecut want record about on of the firm cli : a queen fami the gigliot who wer und investig for cocain smuggl it wa a routin enough request but for the word in capit let : cyou ar herebi direct not to disclo the ex of thi subpoen as it may imp an ongo investigation.d tho word trig a fierc leg tussl that result last week in a sharp rebuk of the unit stat attorney off in brooklyn by a fed judg at issu is a quest that ha long cau tend among prosecut defen lawi wit and judg : do prosecut eag to protect their ca go too far and ev viol a constitut right when they ask wit to keep quiet about subp
26,-1.0,advert the neediest ca by jaclyn peiserdec when kar quinon son trist wa almost year old a new jersey transit driv stop the bu in the middl of the lincoln tunnel and plead with her to stop her son cri he said the tantr wa so distract that he could not drive ms. quinon had a feel someth wa not right when trist wa not talk by month when he start fling himself against a wal and bang hi head on a stairca she real someth wa seri wrong ms. quinon said doct told her he had perva develop disord the symptom of which includ delay in commun and soc skill fami lif got ev mor compli two year lat she had her four child allegr at fiv month allegr start vomit aft she at at nin month she stop eat then cam delay in her langu skil and an in to sit up on h
27,-1.0,advert by pet eavisdec invest may be disappoint with the lacklust perform of the unit stat stock market in but giv al that hap it could hav been wors it wa a year when corp earn underwhelm greec near crash out of the euro chin carri out a shock devalu of it cur the pric of oil slump and the fed reserv increa interest rat for the first tim in near a decad aft it clo on thursday the standard & amp ; poor -stock index fin the year down . perc the perform wa wel below the solid gain of the last three year but the index wa stil up perc ov the last fiv year what is mor the stock market wa abl to bount back from a sum rout that drag the s. & amp ; p. mor than perc below the nomin high it reach in may aft reinvest dividend the benchmark wa up . perc in . advert ci dont rememb
28,-1.0,advert by manni fernandez and david montgomerydec houston texa is so gun-friendli that it is easi to get into the capitol in austin with a firearm than without on licen gun-carri lawmak and memb of the publ hav their own no-wait sec lan and the unarm mass hav to stand in lin and slog through the met detector but on friday gun right throughout the stat expand stil mor as a new law took effect that allow certain tex to wear their handgun in holst on their hip or in should holst dirti harry-styl op display the fact that they ar arm as they work shop din and go about their day the so-cal open-carri law ha set off a long-simm deb ov the limit of the texa gun cult and ha giv gun right advoc a hard-fought vict aft they push for the expand for year memb of the pro-gun group op carri texa wer to gath at noon friday on the
29,-1.0,advert by nick wingfielddec seattl microsoft say it wil begin not us of it onlin serv if they hav been target of suspect state-sponsor onlin attack join a grow list of internet compani step up their sec polici with simil measur the compani which annount the chang on wednesday in a blog post join googl facebook and oth in disclo when us of email and oth serv hav prob been target by hack work on behalf of govern such attack hav increa in inten in rec year and oft involv mor soph sustain form of trickeri to gain control of onlin account than tho employ by ordin digit crimin reut report on wednesday that microsoft man determin in that hack affi with the chine govern had hack into mor than a thousand hotmail account som of which belong to lead of china tibet and uigh mi
30,-1.0,advert jill filipovicdec thi week bil cosbi wa charg with three count of aggrav indec assault the feloni charg stem from an incid mor than a decad ago in which andr constand say mr. cosbi drug and assault her in hi hom mr. cosbi say he intend to fight the charg and no court ha found him liabl for sex misconduct the tim of the crimin charg wa not arbit the dat of the alleg assault wa jan. and pennsylvania statut of limit for rap and sex assault is year : if prosecut had delay two and a half week the limit would hav toll mr. cosbi publ fal in the wak of doz of accu ha been an educ in the real of sex assault espec concern the long conspir of sil and the weight of sham victim ar mad to carri when the suspect is pow and fam ci wa a teen from denv act in mcdonald commerc
31,-1.0,advert by adam liptakdec washington cal for ca chang in our leg cult d chief just john g. robert jr. devot hi year-end report on the stat of the fed judici to a ple that lawi cavoid antagon tact wast proc maneuv and teet brinkmanship.d but crit said the report pra a develop that wil limit the amount of inform individ can obtain from compani and the govern frust their abl to prov their case the chief justic report welcom decemb adopt of maj chang to the rul govern civil litig in the fed court not limit on the pret exchang of inform that lawi cal discoveri ci can not believ that mani memb of the bar went to law school becau of a burn desir to spend their profess lif wear down oppon with cre burdensom discoveri request or evad legitim requ
32,-1.0,advert by mik haledec camerican crim d camerican crim stori cthe americansd the wint season of new and return televid show ha a patriot sound to it ( set asid that the show in quest ar about rap murd and soviet esp ) and you can throw in a pb dram act set in amer cmerci streetd ; an altern hist of an am tragedi c..d ; and the return of an am class cthe x-files.d her ar show to watch for dur the next three month american crime ( abc wednesday ) john ridley antholog crim seri shuffl the rol in it second season regin king now play the uptight control moth who son reput is threaten previ the fel huffm rol and ms. huffm play the defend of the est in thi ca an expend priv school confront with an accu of rap wil t
33,1.0,advert dec. museum and galleri ar in manhat unless otherw not ful review of rec art show : nytimes.com/art a search guid to the and mani oth art show is at nytimes.com/ev am folk art muse : art brut in amer : the incur of jean dubuffet ( through jan. ) thi extraordin show revisit and part recr a little-known chapt in outsid art hist : the decad ( - ) that the groundbreak still-form art brut collect of jean dubuffet the art and on of the field earliest expl spent in the east hampton mand of the art alfonso ossorio whil seen by a host of art world lumin it had littl impact as prov by how mani of the impress art her ar stil unknown in thi countri lincoln squ columb avenu at th street -- folkartmuseum.org ( robert smi ) bronx muse of the art : martin wong : hum instam
34,0.0,advert dec. for ful review of rec concert : nytimes.com/mus a search guid to the and oth show is at nytimes.com/ev joseph arth ( friday ) thi spar folk songwrit rid hi own csatellit of love back to citi wineri for an ev that wil includ plenti of the lou ree cov song that compr hi rec alb clou.d the highlight a del rendit of cconey island babi d cast light on reed strong drawl voc influ on mr. arth with lee ranaldo at p.m. varick street near spring street sou vil -- citywinery.com ( stacey anderson ) a darl lov christma ( saturday ) her lovelorn cchristma ( babi plea com hom ) d is a holiday showstop for the ag ; her an yuletid fest ar a new york institut tru phil spector form prot\xeg\xe ha been an indel voic in pop sint the s the rock and
35,1.0,advert by adam nossiterdec par he wa on of a dozen-odd host capt by a group of ter as they fin their massacr in novemb at the batac liv for ov two hour in their grip in a narrow upstair corrid at the par concert hal and then through the fin assault of the pol as bullet flew but what most haunt david fritz-goepping a young photograph of chil nat who wa rai in frant is not the improb of hi own surviv he rememb the laugh the strang chuckl of on of the ter ev as he continu to fir and kil and kil again in the pit of a mu hal alreadi lin with bloodi corps cin front of us d mr. fritz recal che wa in front of us lik you ar in front of me he had a gun in hi hand he fir and he fir and he laugh ther wa a sort of triumph in dea he wa lik a wolf in a sheepfold.d advert short aft h
36,-1.0,advert dec. ful review of rec jazz perform : nytimes.com/jazz a search guid to the and oth show is at nytimes.com/ev the bad plu ( through sunday ) an acoust piano trio with a collect heart the bad plu hold fast to the ide of a group id ess and inviol in the band relea an excel alb with a respect interlop the saxophon joshu redm but for thi an book the lineup wil strictli feat cor memb : the pian eth iverson the bassist reid anderson and the drum dav king at : and : p.m. vil vanguard seven avenu sou at th street west vil -- villagevanguard.com ; som show ar sold out ( nat chin ) andi biskin ton ( wednesday ) mr. biskin a clarinet and compo with an intellect friski styl ha rec been draw inspir from cthe folk song of nor amer d an import antholog by th
37,-1.0,advert dec. ful review of rec dant perform : nytimes.com/d a search guid to the and oth perform is at nytimes.com/ev alvin ailey am dant the ( saturday and sunday ) in the homestretch of it five-week citi cent run thi compani isnt slow down the fin weekend includ four program with chant to see mani of the season new work includ ronald k. brown copen doord and robert battl cawakeningd on saturday night and renni harri cexodusd on sunday afternoon sunday even fin off a last look at crevelationsd until next season of cour saturday at and p.m. ; sunday at and : p.m. west th street manhat -- alvinailey.org ( siobh burk ) am dant machin for the st centuri ( saturday and sunday ) the origin am dant machin ran from to with a miss
38,1.0,advert dec. rat and run tim ar in parenth ; foreign film hav engl subtitl ful review of al cur relea : nytimes.com/movi alvin and the chipmunk : the road chip ( pg : ) the latest big-screen adv of the unkil sing chipmunk the four in the franch feat a simpl plot than the previ two film it also put the foc back on alvin theod and simon leav the fem trio the chipet in the background the boy ar worri about what they think ar the eng plan of their hum mind dav and tak a road trip to disrupt them catchi song abound ( neil genzl ) anomalisa ( r : ) direct by char kaufm and duk johnson thi sad stir pain stop-mot puppet whatsit cent on a flound soul ( voic by david thewl ) who whil on a busi trip ha an affair with a stranger ( jen jason leigh ) an invalu tom noon voic everyon el
39,-1.0,advert dec. ful review of rec class perform : nytimes.com/class a search guid to the and oth perform is at nytimes.com/ev am oper ( through sunday ) thi intim and approach oper compani wrap up it run of puccini snowi melodram cla boh\xem in a produc direct by nath hul that feat young sing and a ful orchestr conduc by jason tram ( friday and saturday at : p.m. sunday at : p.m. ) the compani family-friend produc of humperdinck chansel and gretel d sung in engl conclud with perform at : p.m. on friday and saturday loreto the sheen cent bleeck street near elizab street east vil amoreopera.org ( corinn da fonseca-wollheim ) anna bolena ( tuesday ) as king henri ill-fat queen in thi donizett work sondr radvanovski who dark-hu soprano ha an al distinct ti
40,0.0,advert sport of the tim by william c. rhoden dec miam gard fla. at the end of clemson coach dabo swinney new conf on wednesday i ask him a theology-bas question would ther be a plac on the tiger rost for a play who told swinney that he would not be particip in bibl studi church out fellow of christian athlet meet or ani of the oth religi act for which swinney ha becom known ? swinney who top-rank undef team rout oklahom in a nat semifin her on thursday said that wa easi to answer he said : cmi job is to win footbal gam wer go to alway recruit and play the best footbal play we dont play the best christian if we play the best christian i wouldnt be sit her ive coach a bunch of ath im sur along the way a ton.d advert swinney and clemson s
41,-1.0,advert dec. approxim run tim ar in parenth the ar in manhat unless otherw not ful review of cur produc addit list showtim and ticket inform ar at nytimes.com/theat a search crit guid to the is at nytimes.com/ev the changel ( in preview ; op on jan. ) if the holiday inspir you with less than charit feel you can indulg them with red bull rev of thoma middleton and william rowley delici gri jacob tragedi manoel felciano christian coulson and sar topham star in thi tal of desir mad and betray direct by jess berg lucil lortel the christoph street west vil -- redbulltheater.com ( alex solosk ) coil ( perform start on tuesday ) thi an fest spon by ps wind up for anoth incarn two elev repair serv alumn kanez schaal and frank boyd each pre
42,0.0,advert by joshu baronedec three king day parad ( wednesday ) also known as the epiphani thi christian holiday as the nam suggest celebr the day the three mag visit the newborn je and gav him gifts.differ countri hav their tradit ; in spain and latin amer the holiday us com with fanf : col parad with tribut to camel and king in the street next week el museo del barrio provid it own tak on the holiday with it th an parad in addit to mu the process incorp puppet liv camel and parranda or street parti the parad begin at a.m. at lexington avenu and th street in east harlem and end at park avenu and th street afterward at the muse ( fif avenu at th street ) ther wil be a parti with liv mu and fre galleri admit -- ; elmuseo.org ; free a list of discuss film screen cult act and walk tour in new york c
43,0.0,advert by robert smithdec ani exhibit of old art drawn from a museum perm collect is a palm held out for us to read a snapshot of the museum sen of it rol ov tim it pre ambit and it view of art hist plac two such exhibit sid by sid and an espec inten and rev frisson can occur thu we hav the palp elect between cjackson pollock : a collect survey -d and ctake an object d two show at the muse of modern art the pollock is a dazzl -work account of that lead abstract expressionist achiev with spec foc on the develop of hi sign drip paint in the mid- ctake an objectd is a survey of world mor extern art-mak by post-pollock art from the unit stat and europ mad between and the mid- it tak it titl from a notebook entri by jasp john : ctake an object do
44,0.0,advert dec. for new about comedi includ crit com : nytimes.com/art a search guid to the and oth show is at nytimes.com/ev the duo show ( wednesday ) thi month show pair com for perform that oft becom a mix of stand-up improv and vaudevil act thi instal headlin ar joe list and mark normand both hil com and co-host of the podcast ctuesday with stories.d oth perform includ amb nelson tim dillon ray kump jonath mcbride may wilkerson ian hunt mat leari freddyg and patrick holbert at p.m. q.e.d - rd avenu near th street astor queen -- qedastoria.com ( el czajkowsk ) an ev with the trumpet boy ( monday ) dan fox ian stroud and mark vig ar the trumpet boy three brass-play com who work their instru into thi hil night of sketch comedi as the trio record a cd ( thi show
45,-1.0,advert open sourc by robert mackey dec as germ prep to ring in alongsid at least a mil migr who wer reg as new resid in chancel angel merkel ded a new year ev address to what she said her nat could gain from the refug crisi ci am convint that handl prop today gre task pre by the influx and the integr of so mani peopl is an opportun for tomorrow d she said in a telev messag aft thank the volunt and profess who hav help welcom the newcom ms. merkel who ha com und fir from ev her own parti for refu to put a cap on the numb of ar empha her believ that the countri could benefit in the end : ther is no quest that the influx of so mani peopl wil stil demand mor from us it wil tak tim effort and money espec when it com to the veri import task of i
46,0.0,advert by ben ratliffdec phish beg it semi-regular new year run at madison squ gard on wednesday the first of it four straight night of show ther the concert ar sold out if you dont hav a ticket and dont follow phish it mean that youll see excit woodsy-look men with beard in midtown bar bef : and aft : p.m. the concert wil in no oth way affect you they do not intersect with contemp aesthet or dynam soc current if you hav a ticket or anoth way in you ent a self-contain pol phish ha been run sint the mid- with a five-year hiat in the aught it concert hav becom mark in fan liv no mat wheth theyr mund or spec and al the detail of the concert espec tho at madison squ gard wher thi vermont band ha play mor than anywh el oth than a coupl of club in burlington dur the ear year
47,0.0,advert by mik haledec downton abbey the countri hou if not the wild popul pb dram begin the show fin season on sunday night in a deplet stat serv ar not be replac and robert crawley the earl of grantham is hint that furth reduc may be nee upstair both tom branson and ro maccl ( now ladi ro aldridg ) hav sail for amer tak with them som of the show energi and audi good wil when the grantham gath in the morn it a sad show just robert mari and edi around a smal tabl cdownton abbeyd end it six-season run on sunday how wel do you know the charact and their tort past ? benea the melodram the with put-down and the fet of period d\xecor and costum cdownton abbeyd ha mor or less consist been about the end of a way of lif in season the show cre and wri
48,-1.0,advert insid art by jori finkel hilari m. sheet and robin pogrebin dec ev sint ed rusch and friend threw a roy typewrit out the window of a spee buick lesabr near lo angel for hi photograph book croyal road test d the impact of the californ desert ha been vi in hi work now mr. rusch is part of an effort to est a biennial-lik exhibit in the palm spring are that would be tim for febru through april to overlap with modern week and the coachel valley mu and art fest two big crowd-pleas mr. rusch is on the board of the nonprofit group behind desert x as the new ev is cal which ha hir the writer-curat nevil wakefield as art direct for it first ev with the form lo angel gal elizabet betinsk as execut direct the nam stand for desert exhibit of art born on the isl of scil off cornwal
