,sentimentValue,article
79,-1.0,her children are grown and have long sinc graduat . but year ago ms. friedman neighbor had list her as an emerg contact for their children and now the counselor wa call to let her know that there had been an accid : the malarczyk famili had been drive on an ici backwood highway in vermont when a tractor-trail cross into their lane and hit their s.u.v
80,-1.0,head-on . both parent were kill as well as a famili friend travel with them and their three children were sever injur . cit just such a tragedi d said ms. friedman who ha live for year on the same cul-de-sac here as the malarczyk
81,-1.0,ci dont know what the kid are go to do.d on tuesday the author said the famili
82,-1.0,by michael schwirtzdec
83,-1.0,"the administr of mayor bill de blasio announc on thursday that it had tent agre to a labor contract with new york citi correct offic union that includ long-sought protect for jail guard like provis to make it easier to prosecut inmat who commit crime while incarcer . if the deal is approv by new york , correct offic all uniform servic in the citi would be under contract for the first time sinc mr. de blasio a democrat took offic two year ago"
84,-1.0,the $ million deal is similar to agreement alreadi ratifi by the polic and fire union provid an percent rais over seven year . the contract wa negoti at a time of major upheav in the depart of correct
85,-1.0,the de blasio administr ha spent hundr of million of dollar in an effort to curtail pervas brutal and corrupt at riker island as well as to impos feder mandat
86,-1.0,by the associ pressdec
87,-1.0,nikolay kulemin extend hi goal streak to three game thoma greiss made save and the island beat the sabr - on thursday night in buffalo . fran nielsen score on a power play minut second into the second period for the island . ryan oreilli score hi th goal of the season and linu ullmark made save for the sabr who lost their third straight . kulemin got hi goal : into the third period with an in-tight score
88,-1.0,oreilli cut the deficit with : left off jack eichel needle-thread pass into the slot dure a power play . the sabr kept pressur on greiss all night start with an earli power play
89,-1.0,with matt martin in the box for interfer greiss made six save includ three on rasmu ristolainen . a crosscheck from ander lee prevent johan larsson from beat greiss moment later but it put buffalo back on the power play
90,0.0,that turn into a two-man advanta
91,-1.0,by the associ pressdec
92,-1.0,khri middleton score point and milwauke edg host indiana - on thursday night . greg monro ad point for the buck who shot percent ( for ) from the field
93,-1.0,jabari parker gianni antetokounmpo and the reserv jerryd bayless had point each . milwauke grab control of the game with a - run in the third quarter . the pacer turnov led to point for the buck . paul georg led indiana with point
94,-1.0,georg hill ad point and rebound . warrior rocket klay thompson score point and golden state overcam the absenc of it star stephen curri to win at houston . jame harden had point for the rocket . clipper pelican j. j. redick score point for a second straight night chri paul close out a poor shoot perform with pivot play in the final minut and lo angel conclud an unbeaten five-gam road trip by win in new orl
95,-1.0,by dave caldwelldec
96,-1.0,with six second left in yet anoth loss chri mullin the st. john basketbal legend turn first-year coach sprang out of hi seat and grimli trudg down the sidelin to where creighton coach greg mcdermott stood
97,-1.0,"the two shook hand as the final buzzer sound . the red storm drop their big east confer open thursday afternoon to the bluejay - befor , fan but that wa hardli a surpris"
98,-1.0,st. john had been pick by big east coach befor thi season to finish last in the confer which ha team . but creighton wa pick to finish onli ninth and thursday game wa on the st. john campu where the young red storm ( - ) had experienc some success
99,-1.0,st. john led for all of second with it lack of experi becom obviou later . cthere alway that balanc of see the improv the guy are make and also handl lose d mullin said
100,-1.0,by sarah maslin nirdec
101,-1.0,there is littl to indic that the misshapen expans of concret bound by a chain-link fenc and at time dust with crumbl piec of the brooklyn-queen expressway that run alongsid it is in fact a citi park
102,-1.0,a few thousand feet west is one of new york glossiest green esplanad the sprawl brooklyn bridg park alongsid the east river in the same dumbo neighborhood
103,-1.0,but here the onli clue that the lot is not a car park or a stall construct site is the green park depart sign proclaim bridg park . how the park and two contigu other park came to be is a fairli straightforward stori involv the highway overhead that defin their irregular shape
104,-1.0,but how the park ha remain in such sorri shape buck for over a decad the glitter gentrif all around is murkier
105,-1.0,depend on whom you ask it is the fault of flaw zone commun breakdown or most pointedli the jehov
106,-1.0,by eric schmitt and melissa eddydec
107,-1.0,washington a senior european counterterror offici said on thursday that spi servic in sever countri had increas their monitor and surveil and govern had put heighten secur measur in place even befor recent arrest in belgium and turkey . hour after the offici spoke the polic in the southern german citi of munich evacu two train station and warn resid to avoid larg group of peopl cite cconcret hintsd of a possibl terrorist attack amid new year celebr . joachim herrmann interior minist for the state of bavaria of which munich is the capit told report earli friday that the german author had been tip by a foreign intellig servic that the islam state wa link to a plot to carri out attack in munich.\xa hubertu andr\x head of the munich polic said offici suspect that sever suicid bomber had pla
108,-1.0,keep score by ben berkondec
109,-1.0,although they advanc to the world seri in octob the met last won a championship in . for some fan the vigor surround that team still ha not worn off . bonni marguli and her husband alan have loyal wait for the franchis to return to it s glori day . cit easi to be a fan of a team that win all the time d said bonni a nativ of littl neck queen . the margulies have been fan of the met sinc the earli s attend as mani as home game everi year sinc becom full season-ticket holder in . cmi father wa a met fan and then my parent got divorc d bonni said
110,-1.0,cmi stepfath wa a dodger fan but i stay a met fan out of stubbornness.d cout of spite d alan inject . the familiar pang of anguish a product of unfulfil annual expect are no
111,-1.0,by graham bowley and sydney emberdec
112,-1.0,for year as bill cosbi and hi lawyer aggress rebut accus that he wa a sexual predat hi defend could point to one incontrovert fact : he had never been charg with a crime . now that ha chang with the announc wednesday by a pennsylvania prosecutor that he wa charg mr. cosbi with aggrav indec assault
113,-1.0,but even as women who have accus the entertain of sexual misconduct celebr the charg legal expert said thursday that the road to convict in the courtroom wa fill with signific hurdl . in mr. cosbi favor they said were a lack of forens evid relat to the decade-old alleg by the woman at the center of the case and the decis by a previou district attorney not to prosecut base on the evid at the time . the prosecut will perhap be bolster by a deposit from mr. cosbi in a subsequ civil suit by the woman andrea const
114,-1.0,by john eligondec
115,-1.0,arnold mo
116,-1.0,linda thorn peer out the back of her trailer near here on monday night to find water slosh up the wooden step . she had thought she would be safe from the rise floodwat
117,-1.0,but at that point she knew she had to go . by thursday most of the trailer and mani of the valuabl she had left behind were submerg
118,-1.0,and ms. thorn who expect to be at a hospit welcom the birth of her first great-grandchild instead found herself stuck under the pale fluoresc light of a gym at a baptist church that had becom a red cross shelter . ci wa devast d she said thursday reflect on the valuabl and keepsak she left behind : mickey mous figurin and doll she want to give to her grandchildren ; a $ set of cast iron pan ; two damascu blade knive with hand-carv bone handl that were gift from a friend . some of the highest flood stage ever record hit the mississippi river basin
119,-1.0,by daniel e. slotnikdec
120,-1.0,howard davi jr. a boxer from long island who in won an olymp gold medal and also receiv the val barker trophi award to the most outstand olymp fighter over hi teammat and fellow gold medalist michael and leon spink and sugar ray leonard die on wednesday at hi home in plantat fla. he wa . the caus wa lung cancer accord to an announc on facebook by the howard davi jr. foundat which rais money to fight cancer . davi who wa a lightweight for most of hi career and had a blister left jab wa onli and wa in mourn at the game in montreal
121,-1.0,day earlier hi mother catherin had die of a heart attack at . ci rememb her point her finger in my face and tell me youd better win the gold medal d davi told the new york post in august
122,-1.0,ci wasnt go to be deni
123,0.0,there wa no way i wa go to lose.d he soundli
124,-1.0,by the associ pressdec
125,-1.0,quarterback greg ward jr. and the houston cougar show they could thrive in a big-gam atmospher against a big-nam oppon . ward ran for two touchdown and threw for anoth lead houston past florida state - on thursday at the peach bowl in atlanta . florida state which won the nation championship two year ago wa favor by point . cit mean that well play against anybodi anywher d ward said
126,0.0,cwe wont back down from anyone.d florida state quarterback sean maguir wa cart off the field with a sprain left ankl late in the first quarter
127,-1.0,he return midway through the second quarter with the ankl wrap and he threw four intercept in the seminol turnover-plagu game . dalvin cook wa held to yard rush with a touchdown and a lost fumbl
128,-1.0,that left the seminol with five turnov
129,-1.0,they commit in regular-season game . hou
130,-1.0,by noam scheiberdec
131,-1.0,washington is the parti over for america super-rich ? for year begin in the earli s the effect tax rate for those at the veri top of the incom ladder gener drop
132,-1.0,then in after a pair of unusu tax increas negoti by the obama white hous went into effect tax went up on thi group . accord to data releas on wednesday by the intern revenu servic the averag rate for feder incom tax paid by the countri top incom earner rose from . percent in to . percent in almost exactli where they stood in the earli s though well below the level of the earli s
133,-1.0,by ani measur that a victori for the caus of tax justic analyst said . but the recent rate increas mani expert also note still do littl to overcom the broader issu of a separ more comfort tax system for the ultrawealthi . cthe increas in the capit g
134,-1.0,by stephani clifforddec
135,1.0,mark with an offici seal the feder subpoena arriv at the red brick offic of zuccarello zerillo & amp ; co. an account firm in whiteston queen in earli march . prosecutor want record about one of the firm client : a queen famili the gigliotti who were under investig for cocain smuggl
136,-1.0,it wa a routin enough request but for the word in capit letter : cyou are herebi direct not to disclos the exist of thi subpoena as it may imped an ongo investigation.d those word trigger a fierc legal tussl that result last week in a sharp rebuk of the unit state attorney offic in brooklyn by a feder judg
137,-1.0,at issu is a question that ha long caus tension among prosecutor defens lawyer wit and judg : do prosecutor eager to protect their case go too far and even violat a constitut right when they ask wit to keep quiet about subp
138,-1.0,the neediest case by jaclyn peiserdec
139,-1.0,when karen quino son tristian wa almost year old a new jersey transit driver stop the bu in the middl of the lincoln tunnel and plead with her to stop her son cri
140,-1.0,he said the tantrum wa so distract that he could not drive . ms. quinon had a feel someth wa not right when tristian wa not talk by month
141,0.0,when he start fling himself against a wall and bang hi head on a staircas she realiz someth wa serious wrong . ms. quinon said doctor told her he had pervas development disord the symptom of which includ delay in commun and social skill . famili life got even more complic
142,-1.0,two year later she had her fourth child allegra
143,-1.0,at five month allegra start vomit after she ate
144,-1.0,at nine month she stop eat
145,-1.0,then came delay in her languag skill and an inabl to sit up on h
146,-1.0,by peter eavisdec
147,-1.0,investor may be disappoint with the lacklust perform of the unit state stock market in but given all that happen it could have been wors . it wa a year when corpor earn underwhelm greec nearli crash out of the euro china carri out a shock devalu of it currenc the price of oil slump and the feder reserv increas interest rate for the first time in nearli a decad . after it close on thursday the standard & amp ; poor -stock index finish the year down . percent
148,0.0,the perform wa well below the solid gain of the last three year . but the index wa still up percent over the last five year
149,-1.0,what is more the stock market wa abl to bounc back from a summer rout that drag the s. & amp ; p. more than percent below the nomin high it reach in may
150,-1.0,after reinvest dividend the benchmark wa up . percent in . ci dont rememb
151,-1.0,by manni fernandez and david montgomerydec
152,-1.0,houston texa is so gun-friendli that it is easier to get into the capitol in austin with a firearm than without one licens gun-carri lawmak and member of the public have their own no-wait secur lane and the unarm mass have to stand in line and slog through the metal detector . but on friday gun right throughout the state expand still more as a new law took effect that allow certain texan to wear their handgun in holster on their hip or in shoulder holster dirti harry-styl openli display the fact that they are arm as they work shop dine and go about their day . the so-cal open-carri law ha set off a long-simm debat over the limit of the texa gun cultur and ha given gun right advoc a hard-fought victori after they push for the expans for year
153,0.0,member of the pro-gun group open carri texa were to gather at noon friday on the
154,-1.0,by nick wingfielddec
155,-1.0,seattl microsoft say it will begin notifi user of it onlin servic if they have been target of suspect state-sponsor onlin attack join a grow list of internet compani step up their secur polici with similar measur . the compani which announc the chang on wednesday in a blog post join googl facebook and other in disclos when user of email and other servic have probabl been target by hacker work on behalf of govern
156,-1.0,such attack have increas in intens in recent year and often involv more sophist sustain form of trickeri to gain control of onlin account than those employ by ordinari digit crimin . reuter report on wednesday that microsoft manag determin in that hacker affili with the chines govern had hack into more than a thousand hotmail account some of which belong to leader of china tibetan and uighur mi
157,-1.0,jill filipovicdec
158,-1.0,thi week bill cosbi wa charg with three count of aggrav indec assault
159,-1.0,the feloni charg stem from an incid more than a decad ago in which andrea constand say mr. cosbi drug and assault her in hi home
160,-1.0,mr. cosbi say he intend to fight the charg and no court ha found him liabl for sexual misconduct . the time of the crimin charg wa not arbitrari
161,-1.0,the date of the alleg assault wa jan. and pennsylvania statut of limit for rape and sexual assault is year : if prosecutor had delay two and a half week the limit would have toll . mr. cosbi public fall in the wake of dozen of accus ha been an educ in the realiti of sexual assault especi concern the long conspiraci of silenc and the weight of shame victim are made to carri when the suspect is power and famou
162,0.0,ci wa a teenag from denver act in mcdonald commerci
163,-1.0,by adam liptakdec
164,-1.0,washington call for ca chang in our legal cultur d chief justic john g. robert jr. devot hi year-end report on the state of the feder judiciari to a plea that lawyer cavoid antagonist tactic wast procedur maneuv and teeter brinkmanship.d but critic said the report prais a develop that will limit the amount of inform individu can obtain from compani and the govern frustrat their abil to prove their case . the chief justic report welcom decemb adopt of major chang to the rule govern civil litig in the feder court notabl limit on the pretrial exchang of inform that lawyer call discoveri . ci can not believ that mani member of the bar went to law school becaus of a burn desir to spend their profession life wear down oppon with creativ burdensom discoveri request or evad legitim requ
165,-1.0,by mike haledec
166,-1.0,camerican crime d camerican crime stori cthe americansd the winter season of new and return televis show ha a patriot sound to it ( set asid that the show in question are about rape murder and soviet espionag )
167,-1.0,and you can throw in a pb drama actual set in america cmerci streetd ; an altern histori of an american tragedi c..d ; and the return of an american classic cthe x-files.d here are show to watch for dure the next three month . american crime ( abc wednesday ) john ridley antholog crime seri shuffl the role in it second season
168,-1.0,regina king now play the uptight control mother whose son reput is threaten previous the felic huffman role and ms. huffman play the defend of the establish in thi case an expens privat school confront with an accus of rape
169,0.0,will t
170,-1.0,dec. museum and galleri are in manhattan unless otherwis note
171,1.0,full review of recent art show : nytimes.com/art
172,-1.0,a searchabl guid to these and mani other art show is at nytimes.com/ev . american folk art museum : art brut in america : the incurs of jean dubuffet ( through jan. ) thi extraordinari show revisit and partli recreat a little-known chapter in outsid art histori : the decad ( - ) that the groundbreak still-form art brut collect of jean dubuffet the artist and one of the field earliest explor spent in the east hampton mansion of the artist alfonso ossorio
173,1.0,while seen by a host of art world luminari it had littl impact as prove by how mani of the impress artist here are still unknown in thi countri
174,-1.0,lincoln squar columbu avenu at th street -- folkartmuseum.org
175,-1.0,( roberta smith ) bronx museum of the art : martin wong : human instamat
176,-1.0,dec. for full review of recent concert : nytimes.com/mus
177,-1.0,a searchabl guid to these and other show is at nytimes.com/ev . joseph arthur ( friday ) thi spare folk songwrit ride hi own csatellit of love back to citi wineri for an even that will includ plenti of the lou reed cover song that compris hi recent album clou.d the highlight a delic rendit of cconey island babi d cast light on reed strong drawl vocal influenc on mr. arthur
178,0.0,with lee ranaldo
179,-1.0,at p.m. varick street near spring street south villag -- citywinery.com
180,-1.0,( stacey anderson ) a darlen love christma ( saturday ) her lovelorn cchristma ( babi pleas come home ) d is a holiday showstopp for the age ; her annual yuletid festiv are a new york institut
181,-1.0,truli phil spector former prot\xeg\xe ha been an indel voic in pop sinc the s the rock and
182,-1.0,by adam nossiterdec
183,-1.0,pari he wa one of a dozen-odd hostag captur by a group of terrorist as they finish their massacr in novemb at the bataclan live for over two hour in their grip in a narrow upstair corridor at the pari concert hall and then through the final assault of the polic as bullet flew . but what most haunt david fritz-goepping a young photograph of chilean nation who wa rais in franc is not the improb of hi own surviv . he rememb the laugh the strang chuckl of one of the terrorist even as he continu to fire and kill and kill again in the pit of a music hall alreadi line with bloodi corps . cin front of us d mr. fritz recal
184,0.0,che wa in front of us
185,0.0,like you are in front of me
186,0.0,he had a gun in hi hand
187,1.0,he fire and he fire
188,1.0,and he laugh
189,-1.0,there wa a sort of triumph in death
190,-1.0,he wa like a wolf in a sheepfold.d shortli after h
191,-1.0,dec. full review of recent jazz perform : nytimes.com/jazz
192,-1.0,a searchabl guid to these and other show is at nytimes.com/ev . the bad plu ( through sunday ) an acoust piano trio with a collectivist heart the bad plu hold fast to the idea of a group ident essenti and inviol
193,-1.0,in the band releas an excel album with a respect interlop the saxophonist joshua redman but for thi annual book the lineup will strictli featur core member : the pianist ethan iverson the bassist reid anderson and the drummer dave king
194,-1.0,at : and : p.m. villag vanguard seventh avenu south at th street west villag -- villagevanguard.com ; some show are sold out
195,-1.0,( nate chinen ) andi biskin ton ( wednesday ) mr. biskin a clarinetist and compos with an intellectu friski style ha recent been draw inspir from cthe folk song of north america d an import antholog by th
196,-1.0,dec. full review of recent danc perform : nytimes.com/d
197,-1.0,a searchabl guid to these and other perform is at nytimes.com/ev . alvin ailey american danc theater ( saturday and sunday ) in the homestretch of it five-week citi center run thi compani isnt slow down
198,-1.0,the final weekend includ four program with chanc to see mani of the season new work includ ronald k. brown copen doord and robert battl cawakeningd on saturday night and renni harriss cexodusd on sunday afternoon
199,-1.0,sunday even final offer a last look at crevelationsd until next season of cours
200,-1.0,saturday at and p.m. ; sunday at and : p.m. west th street manhattan -- alvinailey.org
201,-1.0,( siobhan burk ) american danc machin for the st centuri ( saturday and sunday ) the origin american danc machin ran from to with a missi
202,-1.0,dec. rate and run time are in parenthes ; foreign film have english subtitl
203,0.0,full review of all current releas : nytimes.com/movi . alvin and the chipmunk : the road chip ( pg : ) the latest big-screen adventur of the unkil sing chipmunk the fourth in the franchis featur a simpler plot than the previou two film
204,-1.0,it also put the focu back on alvin theodor and simon leav the femal trio the chipett in the background
205,0.0,the boy are worri about what they think are the engag plan of their human minder dave and take a road trip to disrupt them
206,0.0,catchi song abound
207,-1.0,( neil genzling ) anomalisa ( r : ) direct by charli kaufman and duke johnson thi sad stirringli pain stop-mot puppet whatsit center on a flounder soul ( voic by david thewli ) who while on a busi trip ha an affair with a stranger ( jennif jason leigh )
208,1.0,an invalu tom noonan voic everyon el
209,-1.0,dec. full review of recent classic perform : nytimes.com/class
210,-1.0,a searchabl guid to these and other perform is at nytimes.com/ev . amor opera ( through sunday ) thi intim and approach opera compani wrap up it run of puccini snowi melodrama cla boh\xem in a product direct by nathan hull that featur young singer and a full orchestra conduct by jason tramm
211,-1.0,( friday and saturday at : p.m. sunday at : p.m. ) the compani family-friendli product of humperdinck chansel and gretel d sung in english conclud with perform at : p.m. on friday and saturday
212,-1.0,loreto theater sheen center bleecker street near elizabeth street east villag amoreopera.org
213,-1.0,( corinna da fonseca-wollheim ) anna bolena ( tuesday ) as king henri ill-fat queen in thi donizetti work sondra radvanovski whose dark-hu soprano ha an allur distinct ti
214,-1.0,sport of the time by william c. rhoden dec
215,-1.0,miami garden fla. at the end of clemson coach dabo swinney news confer on wednesday i ask him a theology-bas question . would there be a place on the tiger roster for a player who told swinney that he would not be particip in bibl studi church outing fellowship of christian athlet meet or ani of the other religi activ for which swinney ha becom known ? swinney whose top-rank undef team rout oklahoma in a nation semifin here on thursday said that wa easi to answer . he said : cmi job is to win footbal game
216,1.0,were go to alway recruit and play the best footbal player
217,0.0,we dont play the best christian
218,-1.0,if we play the best christian i wouldnt be sit here
219,-1.0,ive coach a bunch of atheist im sure along the way a ton.d swinney and clemson s
220,-1.0,dec. approxim run time are in parenthes
221,-1.0,theater are in manhattan unless otherwis note
222,-1.0,full review of current product addit list showtim and ticket inform are at nytimes.com/theat
223,-1.0,a searchabl critic guid to theater is at nytimes.com/ev . the changel ( in preview ; open on jan. ) if the holiday inspir you with less than charit feel you can indulg them with red bull reviv of thoma middleton and william rowley delici grisli jacobean tragedi
224,-1.0,manoel felciano christian coulson and sara topham star in thi tale of desir mad and betray direct by jess berger
225,-1.0,lucil lortel theater christoph street west villag -- redbulltheater.com
226,-1.0,( alexi soloski ) coil ( perform start on tuesday ) thi annual festiv sponsor by ps wind up for anoth incarn
227,-1.0,two elev repair servic alumni kaneza schaal and frank boyd each pre
228,-1.0,by joshua baronedec
229,-1.0,three king day parad ( wednesday ) also known as the epiphani thi christian holiday as the name suggest celebr the day the three magi visit the newborn jesu and gave him gifts.differ countri have their tradit ; in spain and latin america the holiday usual come with fanfar : color parad with tribut to camel and king in the street . next week el museo del barrio provid it own take on the holiday with it th annual parad
230,-1.0,in addit to music the process incorpor puppet live camel and parranda or street parti . the parad begin at a.m. at lexington avenu and th street in east harlem and end at park avenu and th street
231,-1.0,afterward at the museum ( fifth avenu at th street ) there will be a parti with live music and free galleri admiss
232,1.0,-- ; elmuseo.org ; free . a list of discuss film screen cultur activ and walk tour in new york c
233,-1.0,by roberta smithdec
234,-1.0,ani exhibit of older art drawn from a museum perman collect is a palm held out for us to read a snapshot of the museum sens of it role over time it present ambit and it view of art histori
235,-1.0,place two such exhibit side by side and an especi intens and reveal frisson can occur . thu we have the palpabl electr between cjackson pollock : a collect survey -d and ctake an object d two show at the museum of modern art
236,1.0,the pollock is a dazzl -work account of that lead abstract expressionist achiev with special focu on the develop of hi signatur drip paint in the mid-
237,-1.0,ctake an objectd is a survey of worldlier more extern art-mak by post-pollock artist from the unit state and europ made between and the mid-
238,-1.0,it take it titl from a notebook entri by jasper john : ctake an object
239,0.0,do
